Keyword,Betweenness Centrality,Next Jenks Elbow Point
ai,0.6866138909763073,0.6866138909763073
mobile,0.18514571618598458,0.11950843460910578
top,0.15521451461048777,0.11950843460910578
app,0.11950843460910578,0.11950843460910578
wordpress,0.10203832787725402,0.07418828224197352
job,0.09937874115726464,0.07418828224197352
hacker,0.07418828224197352,0.07418828224197352
privacy,0.07353074551061128,0.04660952899207933
market,0.07346272446943587,0.04660952899207933
source,0.07267058525447787,0.04660952899207933
game,0.07012364713706995,0.04660952899207933
exploit,0.06700677187254368,0.04660952899207933
tech,0.06575367313622353,0.04660952899207933
cx,0.06235262107745329,0.04660952899207933
private,0.05969116287908234,0.04660952899207933
economy,0.0549156539089425,0.04660952899207933
base,0.04660952899207933,0.04660952899207933
industry,0.0440927504685893,0.014628302799443738
survive,0.04380555051695991,0.014628302799443738
fraud,0.04152608984823752,0.014628302799443738
user,0.04090331942680936,0.014628302799443738
question,0.03772900417195719,0.014628302799443738
pro,0.037592962089606385,0.014628302799443738
video,0.03754761472882278,0.014628302799443738
open,0.037153992439227325,0.014628302799443738
change,0.03389715218574279,0.014628302799443738
strategy,0.03314892073281335,0.014628302799443738
application,0.033020436543926474,0.014628302799443738
access,0.03200336002349425,0.014628302799443738
platform,0.03130932946369185,0.014628302799443738
cloud,0.02952113187012516,0.014628302799443738
smart,0.0284214583711228,0.014628302799443738
data,0.02825140576818429,0.014628302799443738
leak,0.02521313259568293,0.014628302799443738
face,0.02521313259568293,0.014628302799443738
including,0.02521313259568293,0.014628302799443738
building,0.02521313259568293,0.014628302799443738
control,0.02316213624938457,0.014628302799443738
russia,0.023096922425781485,0.014628302799443738
execute,0.022211137311808453,0.014628302799443738
million,0.02092024910816857,0.014628302799443738
plugin,0.01891078518595297,0.014628302799443738
woodstock,0.01878892315133926,0.014628302799443738
host,0.018531954773565514,0.014628302799443738
observability,0.016733176129149284,0.014628302799443738
battle,0.014628302799443738,0.014628302799443738
forwards,0.014522492290948664,0
ecommerce,0.013735715581353164,0
drive,0.01269726101940867,0
week,0.01269726101940867,0
order,0.01269726101940867,0
affiliate,0.01269726101940867,0
startup,0.011831882217788256,0
free,0.011586790529743549,0
website,0.010038394098796782,0
content,0.00974309640417023,0
breach,0.008026482858697623,0
smith,0.006552693633230546,0
launch,0.006371304190096136,0
fifa,0.006280609468528931,0
eating,0.006053872664610919,0
claude,0.004879160080502362,0
bitter,0.0041568414051635525,0
download,0.003476630993409517,0
planning,0.0025681721990446823,0
marker,0.002494104843098131,0
developing,0.0019726101940867042,0
exposed,0.0016325049882096865,0
day,0.001186589273837596,0
tool,0.0010429892980228551,0
alpha,0.0007991932488576783,0
full,0.0006273051575064997,0
right,0.0004081262470524215,0
label,0.0004081262470524215,0
favro,0.0002297599613035854,0
april,0.00013604208235080717,0
emerge,0.0001209262954229397,0
voice,0.00008615998548884454,0
leading,0.00008615998548884454,0
flaw,0.00006046314771146985,0
woman,0.00004534736078360239,0
generation,0,undefined
usb,0,undefined
isn,0,undefined
apple,0,undefined
chatgpt,0,undefined
shortly,0,undefined
github,0,undefined
limit,0,undefined
pope,0,undefined
affect,0,undefined
file,0,undefined
ibm,0,undefined
month,0,undefined
call,0,undefined
critic,0,undefined
elect,0,undefined
target,0,undefined
massive,0,undefined
rain,0,undefined
spaghetti,0,undefined
malicious,0,undefined
flag,0,undefined
network,0,undefined
customer,0,undefined
community,0,undefined
blend,0,undefined
relaxing,0,undefined
farm,0,undefined
metaverse,0,undefined
essential,0,undefined
break,0,undefined
team,0,undefined
transform,0,undefined
pause,0,undefined
politic,0,undefined
power,0,undefined
world,0,undefined
appoint,0,undefined
development,0,undefined
league,0,undefined
machine,0,undefined
offer,0,undefined
cybersecurity,0,undefined
trust,0,undefined
roll,0,undefined
p,0,undefined
event,0,undefined
expand,0,undefined
soccer,0,undefined
lean,0,undefined
chemical,0,undefined
row,0,undefined
campus,0,undefined
chatbot,0,undefined
powered,0,undefined
scammy,0,undefined
spammy,0,undefined
pick,0,undefined
spotify,0,undefined
counterfactual,0,undefined
security,0,undefined
crumbling,0,undefined
nft,0,undefined
review,0,undefined
ask,0,undefined
frequently,0,undefined
cj,0,undefined
generator,0,undefined
make,0,undefined
